Workflow,Step,File,Subflow,Description
initialize,1,drop_roles.sql,drop,
initialize,2,create_roles.sql,create,
initialize,3,insert_roles.sql,insert,
initialize,4,drop_responsibilities.sql,drop,
initialize,5,create_responsibilities.sql,create,
initialize,6,insert_responsibilities.sql,insert,
initialize,7,drop_timeboxes.sql,drop,
initialize,8,create_timeboxes.sql,create,
initialize,9,drop_softwares.sql,drop,
initialize,10,create_softwares.sql,create,
initialize,11,drop_teams.sql,drop,
initialize,12,create_teams.sql,create,
initialize,13,drop_resources.sql,drop,
initialize,14,create_resources.sql,create,
initialize,15,drop_tasks.sql,drop,
initialize,16,create_tasks.sql,create,
initialize,17,drop_allocations.sql,drop,
initialize,18,create_allocations.sql,create,